Course Number,Title,Description,Instructors,Terms Offered,Equivalent Courses
HIST 27416,Black Religious Protest in the U,"This course examines African American religious protest against the American nation for its actual history and its ideals in view of black oppression. The course begins with David Walker's Appeal (1829) and ends with debates around Jeremiah Wright's ""God damn America"" sermon. The course situates black religious protest amidst discussions of the American Jeremiad, a particular critique of the nation in relation to the divine, American exceptionalism, and racial injustice. We attempt to trace continuity and discontinuity, hope versus pessimism, and visions of a more perfect union in these public critiques of the nation.",Curtis Evans,"Winter
Note(s): This course meets the HS Committee distribution requirement for Divinity students.","RDIN 23202, AMER 42202, AMER 22202, HIST 47416, RAME 42202, HCHR 42202, RLST 22202"
HIST 27417,The Global Color Line and the New International Order,"In 1900, W. E. B. Du Bois prophesied that the ""problem of the twentieth century is the problem of the color line,"" concomitantly laying the foundation of a new language of solidarity by enlisting, not only the ""millions of black men in Africa [and] America"" but also ""the brown and yellow myriads"" in Asia, as victims of White oppression. The color line, seen as a collaborative imperial instrument to keep European states atop a global hierarchy, thus represented both problem and solution for Du Bois. This course explores the provocative thesis of color line by examining two sites where its structural logic was most evident: the continent of Africa and the emerging international law, in the early 20th century. The first part of the course focuses on Africa as a crucible for various White imperialists and a diverse group of settlers belonging to ""darker races""-drawn to the continent by its riches. We will explore the multiple forms of solidarity forged among people of color, while acknowledging how real-world animosities attenuated this aspiration. The second half examines the burgeoning int'l order by pivoting on the evolution of int'l law reliant on an ""exclusion-inclusion model"" that perpetuated the color line, along with a concomitant process of global solidarity that culminated in the Bandung Conference. Students will utilize archival and primary sources, complemented by cutting-edge contemporary scholarship.",Taimur Reza,Autumn,"SALC 35328, SALC 25328, RDIN 20600, RDIN 30600, CHDV 20600"
HIST 27418,Gender and Sexuality in Latin America,"Bringing together Latin American social, feminist and queer theory, we will explore four pivotal moments in history-Spanish conquest, independence, industrialization and revolution-in order to interrogate why social conflicts were often mediated through competing definitions of masculinity and femininity as well as how debates about legitimate sexual practice and reproduction ultimately underpinned larger concerns over racial purity, economic inequality, class struggle and the prerogatives of the state. Our readings will span a variety of perspectives and theoretical orientations in order to shed light on the intellectual and social diversity unique to the Latin American context.",M. Hicks,Autumn,
HIST 27510,Religion in the Enlightenment: England and America,"Study in the historiographies of the Enlightenment in England and in America, with special attention to the ""trans-Atlantic"" communication of ideas regarding the nature of the person, religion, and the role of the political order.",Richard Rosengarten,"Winter
Note(s): This course meets the HS or LMCS Committee distribution requirement for Divinity students.","AMER 22110, AMER 42100, RAME 42100, HIST 47510, RLVC 42100, HCHR 42200, RLST 22110"
HIST 27718,Beyond the Culture Wars: Social Movements and the Politics of Education in the U,"Passionate conflicts over school curriculum and educational policy are a recurring phenomenon in the history of US schooling. Why are schools such frequent sites of struggle and what is at stake in these conflicts? In this discussion-based seminar, we will consider schools as battlegrounds in the US ""culture wars"": contests over competing visions of national identity, morality, social order, the fundamental purposes of public education, and the role of the state vis-à-vis the family. Drawing on case studies from history, anthropology, sociology and critical race and gender studies, we will examine both past and contemporary debates over school curriculum and school policy. Topics may include clashes over: the teaching of evolution, sex and sexuality education, busing/desegregation, prayer in schools, multiculturalism, the content of the literary canon, the teaching of reading, mathematics and history, and the closure of underperforming urban schools. Our inquiry will examine how social and political movements have used schools to advance or resist particular agendas and social projects.",Lisa Rosen,Spring. Offered spring 2025,"EDSO 23011, SOCI 20588, SOCI 30588, EDSO 33011, CHDV 33011, CHDV 23011, HIST 37718, PBPL 23011"
HIST 27719,The Christian Right,"From the Gilded Age to the age of Donald Trump, conservatives Christians have played a major role in shaping American politics and culture. This course will use primary and secondary sources to explore the development of the Christian Right in the United States. We will answer essential questions about the movement: Who joins it? Who leads it? And who funds it? We will examine how conservative Christians approach not only ""moral"" issues like abortion but also issues like economic regulation and foreign policy. Finally, we will seek to answer the question: What is the future of the Christian Right in an increasingly diverse America?",William Schultz,"Spring
Note(s): This course meets the HS Committee distribution requirement for Divinity students.","HIST 37719, RAME 35700, AMER 35700, AMER 22667, HCHR 35700, RLST 22667"
HIST 27806,Histories of Women in Science,"In the mid-1980s, only two female students drew women when asked what a scientist looked like and none of the male students in the study did. Only 8% of STEM workers in 1970 were women; in 2019 that number was still only 27%. This would seem to suggest that the history of women in science is a recent one. Yet historians of science have foregrounded women's involvement in fields ranging from early modern medicine to twentieth century astrophysics. This class introduces students to these histories, investigates how and why science came to be a gendered as male, and asks to what extent gendered values continue to inform modern conceptions scientific achievement or value. In so doing, this course also introduces students to feminist science studies and challenges students to reflect upon their own (gendered) experiences of science. Students are strongly encouraged to develop final research projects that draw upon their own interests, scientific expertise, and linguistic competencies.
No prior experience with history is required for this course, although an enthusiasm for history is advised.",Kristine Palmieri,Winter,"GNSE 23162, CHSS 37011, ASTR 23700, PHSC 27010, KNOW 37011, HIPS 27011, GNSE 37011"
HIST 27807,Sexuality in U,"In this course we will study the history of changing sexual practices, relations, politics, cultures, and social systems in the region of North America now comprising the United States and 574 sovereign tribal nations. We begin in the pre-colonial period and end in the late twentieth century, focusing on how gendered, racial, economic, religious, medical, and commercial discourses shaped and were shaped by sexual ones. Moving through various contexts, such as occupied indigenous territories, the secret parties of enslaved people, scientific societies, urban drag balls, medical schools, liberatory movements, and popular culture, we will use primary and secondary sources to develop a research-based understanding of how sexual discourses are produced, revised, and remixed among and across generations.",Red Tremmel,"Spring
Note(s): This course counts as a Concepts course for GNSE majors.",GNSE 23165
HIST 27808,"Midwives, Healers, and ""Abortionists""  100 Units","In the 19th and early 20th centuries in the US, most births moved from the home (where they were often attended by midwives) to the hospital (where they were almost always attended by male doctors). In recent decades, demand for midwives has reemerged across the political spectrum. Some see midwives as a bulwark against contracting reproductive rights and autonomy; some see them as protection from government overreach and regulation, or as a return to a lost traditional or religious past; many see them as an answer to a medical system that has failed to meet the needs of mothers and babies. This course will follow the history of midwives, women healers, and abortion providers from antiquity through the Middle Ages and to the present, with a focus on the political, legal, and religious context of midwifery in twentieth and twenty-first century US. Topics include witchcraft accusations of midwives and healers; the importance of Black midwives in the antebellum south; the role of race and gender in laws against practicing midwifery; convergences and divergences between the natural birth movement and the reproductive rights movement; and the prevalence of homebirth among Christian momfluencers.",P. Heffington,Winter,GNSE 20139
HIST 27907,"Violence: Vigilantism, Community Defense, and Armed Resistance","This course explores extralegal violence primarily in the US, from decolonial struggles to white mobs to self and community defense by marginalized peoples. How do we understand different forms of violence, defense, and resistance in relation to the violence of the state? What role does violence play in struggles for justice and freedom? This seminar surveys a range of social science approaches to these questions. In addition to reading the work of anthropologists, historians, and philosophers, we will also take up these themes as they appear in popular media and current events.",Maya Singhal,Spring,"CRES 22900, RDIN 20900, RDIN 30900, ANTH 22547, ANTH 32547"
HIST 28302,"The American Founding, 1763-1789","This course examines the founding of the United States from the global crisis of the British Empire following the Seven Years' War to the launching of the new national government in 1789. The architects of the American republic believed they were laying the foundations not only of a new political regime but also of a new world. As Thomas Paine's revolutionary pamphlet Common Sense asserted in 1776, American independence would ""begin the world over again."" The lectures consider the revolutionary origins of the United States in the long-term context of three centuries of world history commencing with Columbus' arrival in the Americas in 1492. Course readings consist of primary sources ranging from major works of Enlightenment social and historical theory to political pamphlets, newspaper opinion pieces, and parliamentary debates. This is a lecture course; the assignments consist of two take-home essay exams and a paper.",J. Vaughn,,
HIST 28308,"Science, Governance, and the Crisis of Liberalism","In the era of ""post-truth"" it has become common to link a crisis of scientific authority with a crisis of liberalism. Democracies around the world are under threat, this reasoning goes, in part because of an attack on scientific truth. But what does liberalism - as political culture and as a form of governance - need (or want) from science? Depending where you look, the answer might appear to be facts, truth, a model 'public sphere,' an ethic of objectivity, tactics for managing risk and uncertainty, or technologies of population management (to name a few). In addition to exploring the complex historical relationship between science and liberalism in the modern era, this course will critically assess how the history of science and the history of political thought have theorized truth and governance. We will examine what models of ""coproduction"" and ""social construction"" - nearly ubiquitous in the historiography of modern science - fail to capture about the histories of science and state power. We will also think about how political and intellectual historians' theories of truth and mendacity in politics might be enriched by more attention to scientific knowledge in both its technical and epistemological forms. This course focuses on 19th- and 20th-century Europe and the United States in global perspective, and readings will draw from political theory, history, economic thought, the natural and human sciences, and critical theory.",Isabel Gabel,Autumn,"HIPS 22204, HIST 38308, KNOW 32204, CHSS 32504"
HIST 28309,States of Exception in American History,"Although the United States is officially a constitutional democracy, it has repeatedly involved emergency powers to suspend the constitution and abridge constitutional rights. We explore the history of these 'states of exception' in American history, from the founding era to the present. 
Eligible for LLSO Junior Colloquium.",Joel Isaac,Winter,"LLSO 29073, SCTH 20684"
HIST 28710,Law and Religion in the Modern United States,"This course explores the persistent tension between law and religious faith in the United States. It will proceed loosely chronologically, beginning with the Supreme Court's first rulings on religious liberty following the Civil War and continuing into the twenty-first century. The course will also introduce students to a range of thematic issues, such as the use of state power by religious actors to regulate behavior, the place of believers (and nonbelievers) within a liberal democracy, the religious rights of corporations, and the emergence of forms of legal pluralism as religious law and civil law increasingly intersect. Readings will include case law, legal and political theorists, as well as religious voices. Students will complete a significant literature review on a topic of their choosing.
This course counts as an LLSO junior colloquium.",Jacob Betz,"Spring
Note(s): Preference is given to LLSO juniors.","LLSO 29711, RLST 28711"
HIST 28802,United States Labor History,"This course will explore the history of labor and laboring people in the United States. The significance of work will be considered from the vantage points of political economy, culture, and law. Key topics will include working-class life, industrialization and corporate capitalism, slavery and emancipation, the role of the state and trade unions, and race and sex difference in the workplace.",A. Stanley,"Autumn
Prerequisite(s): Graduate students by consent of instructor
Note(s): Assignments: short papers and an in-class presentation","LLSO 28802, GNSE 38802, GNSE 28802, HIST 38802"
HIST 28815,American Spectacle,"Spectacles have shocked, awed, delighted, and horrified Americans for centuries-seemingly all at once. This class reexamines American history through the lens of spectacle in its many guises: the scientific, violent, technological, and political. We explore how these various iterations have not only coexisted over time but also intersected, reinforced, and-at times-complicated each other. We will ask how these overlapping spectacles shaped and continue to shape the United States by underwriting and innovating race, class, gender, and statecraft. Is spectacle foundational to the United States? How does it bridge individual lived experience and sociopolitical and economic abstractions? Running from the early modern Atlantic World to the present, we conclude by asking whether the digital age has made spectacle ubiquitous, and at what cost.","Hofmann, Alex",Spring,"MAPS 31450, MAAD 28815, HIST 38815, MAPS 21450"
HIST 29107,Empires and Colonies of the Atlantic World,"This graduate-level reading colloquium explores classic and emerging scholarship that examines the rise and consolidation of European overseas empires and colonies in the early modern Atlantic world (c.1400-1850). While we will analyze transatlantic European imperial structures, the course will pay particular attention to the perspectives of the colonized peoples (such as enslaved and freed people of African descent, creole populations, and Indigenous peoples) and places (such as the Caribbean, West Africa, Latin America, and North America) in the Atlantic World. Among the thematic topics we will discuss include: colonization; the rise of slavery and the slave trade; cross-cultural and political connections; the consolidation of race; gender, sexuality, and the family; the environment; the plantation complex; work and economy; social life; anti-colonial and anti-slavery struggles, revolution; abolition; and the reconstitution of colonial and imperial structures after slave emancipation. Upper-level undergraduates may enroll with instructor consent.","Lyons, Deirdre",Spring,"ANTH 26455, HIST 39107, MAPS 33555, ANTH 46455"
HIST 29427,"Fashion, Empire, Capitalism","Clothing, famously termed the ""social skin"", mediates the space between individuals and societies. Whether articulating personal taste or reflecting a collective identity, dress can be a powerful symbol-both historically and in the contemporary world. Worn against the skin, clothing is both intimate and connects us to a global, multi-billion-dollar system that employs roughly one in every ten people worldwide. This course addresses the multivalent history of dress from early modern imperial encounters in the Atlantic World, to anti-colonial movements in South Asia, to the nineteen-forties American Zoot Suit Riots-demonstrating the ways that clothes are connected to gendered and racial categories, political projects, and the shape of global capitalism. Students will analyze case studies from Malabar to Manchester, colonial Lima to revolutionary France, nineteenth-century Zanzibar to nineteen-eighties New York. Examining the history of dress and its global interconnections necessitates an interdisciplinary approach; therefore, students will combine historical scholarship with theoretical frameworks from the anthropology of dress and methodologies from material culture studies to analyze sources ranging from museum objects to films, haute couture fashion to flip-flops. Finally, this course sheds light on historic interconnections and the development of fashion systems, asks what ways these continue to animate our contemporary world, and imagines new possibilities for the future.",K. Hickerson,"Autumn
Note(s): Assignments: material analyses, essays, and an original research project.","RDIN 29427, GNSE 29427"
HIST 29431,How (Not) to Save the World: The History of International Development,"The drive to deliver humanitarian aid and improved living standards to the world far beyond one's own borders is a distinctively modern phenomenon. This course introduces students to the theories, actors, and practices that have shaped international development. We will explore the colonial origins of development as an idea, its evolution during the Cold War, and the implications of today's more multipolar world. We will see how different strategies have risen and fallen from favor, from big dams to trade to private philanthropy. Alongside scholarly histories, we will read reflections by development practitioners and critics and examine concrete case studies of development projects in action around the world.",E. Chatterjee,Spring,"HMRT 29432, GLST 29431"
HIST 29607,"History Colloquium: Epidemics, Public Health, and Cities","The ongoing COVID-19 epidemic has brought a new awareness of the devastating impact of epidemic disease, particularly in cities where population density and other factors contribute to high rates of infection. This undergraduate colloquium aims to guide students through the research and writing of an original research paper that explores public health response to epidemic disease in cities around the world. Topics to be examined include defining an appropriate research question, identifying relevant secondary literature, finding primary sources, and constructing a compelling narrative.",S. Burns,"Spring
Prerequisite(s): Priority registration is given to History majors.",HIPS 26207
HIST 29610,Colloquium:  History and Fiction,"We will explore the relations among historical analysis, historical narrative, and fiction, with an emphasis on the Americas.",M. Tenorio,Autumn,
HIST 29631,Taiwan in Asia and the World,"This course examines the distinctive history of the island of Taiwan, from seventeenth-century Spanish colony to outpost of the Dutch empire, from multiethnic pirate cove to Qing coastal fortress, from an essential point of origin for Austronesian languages and cultures to Japan's first model colony, and from decades living under martial law to today's vibrant democratically elected government. There may never have been a time when Taiwan's future was so heatedly debated, or viewed as so central to global politics, as it is at this moment. Readings spanning three centuries and an array of governing regimes. We will explore the historical arguments and narratives that constitute the cultural identity of this diverse and contested place. In addition to reading primary sources and historiography over the quarter, students will develop and share their own research. This will culminate with either a paper or public history project.",J. Ransmeier,Winter,EALC 24518
HIST 29634,African Cities and Urbanism,"This course looks at urbanism and urbanization in the nineteenth and twentieth centuries through a focus on selected cities in East, Southern, and West Africa. Beginning with existing trade routes and economic centers onto which some colonial cities were mapped, the course explores waves of migration over different historical periods, infrastructural imaginaries and the policies that shaped them, informal and formal economies, and cultural expressions and representations of life and living in the city. We will draw from a diversity of sources including fiction, non-fiction, architecture, town planning, photography, and the arts to examine political, social, economic, and topographical features and forces that drove the growth and development of each city studied, and also to reflect on commonalities that emerged between cities across different regions of the continent.",T. Thipe,Spring,"CEGU 29634, RDIN 29634"
HIST 29661,Colloquium: Digital Humanities/Digital History,"The modern era has been punctuated by episodes, some lasting centuries, of exploitation, expropriation, and genocide. This course will address how people and institutions have sought to grapple with the legacies of the extreme violence that polities, societies, and individuals have inflicted on each other through the collection and display of the material, documentary, and testimonial fragments left behind. Focusing on the archives and museums dedicated to the genocide of Indigenous peoples, slavery, and the Holocaust, we will discuss the following questions: What is an object of trauma? What makes its way to a depository of traumatic events, what does not, and why? What do archivists and curators hope to accomplish?  What stories can be told, given that so many of the voices of victims are irretrievable? What happens to a remnant of trauma once it is in the custody of a museum or an archive? What is the relationship between archives of trauma and their exhibition? We will consider the traumatic remains that have been deposited both in specialized and in general archives and museums. This seminar-style class will involve intensive discussion of primary sources and interdisciplinary scholarship.  We will also be going on study trips to archives and museums around Chicago, such as the Illinois Holocaust Museum & Education Center, the DuSable Black History Museum & Education Center, and The Mitchell Museum of the American Indian.",L. Auslander & T. Goldsmith,Winter,"RDIN 29661, JWSC 29661"
HIST 29683,"History Colloquium: Race, Slavery, and Nation","With its focus on research methods, this seminar supports the production of an original, primary-source-based research paper related to the course's broad themes of race, slavery, and nation. We will dedicate time to historiographical debates, conceptual frameworks, a group visit to special collections, and peer review. Specifically, students will formulate a viable research question, develop a research agenda that uses the appropriate qualitative or quantitative methods, conduct independent research, and draft and revise a final paper. While some background historical knowledge in the student's proposed area of interest is recommended, it is not required.","R. Johnson
Prerequisite(s): Priority registration is given to History majors. If possible, students should have taken HIST 17908, African American History to 1865 prior to registering for this course.",,
HIST 29685,"History Colloquium: Asian/Pacific Islander American History, 1850-2021","Looking through a broad interdisciplinary lens, this course will examine the trajectory of Asians and Pacific Islanders in America. How did nineteenth- and early twentieth-century ""sojourners"" become ""citizens""?  What constituted the public's shift in perception of Asians from unassimilable alien to ostensible ""model minority""? We will interrogate not only what it means to have been and to be an Asian in America but also what role APIAs have played in striving for a multiracial democracy. The history of anti-Asian violence will be traced from the mid-nineteenth century to the most recent hate crimes in the age of COVID. Conscious of the tendency to homogenize all Asians in the historical imagination, the course will be explicitly comparative, incorporating the diverse and disparate experiences of East, Southeast, and South Asians, as well as Pacific Islanders in America over time. We will, also, at times, investigate the histories of other ethnic/racial groups and compare their experiences to the Asian American experience.",M. Briones,"Spring
Prerequisite(s): Priority registration is given to History majors.",RDIN 27685
HIST 29700,Readings in History,"Students are required to submit the College Reading and Research Course Form.
Prerequisite(s): Consent of instructor and the History undergraduate advisor.",,"Autumn
Spring
Summer
Winter
Prerequisite(s): Consent of instructor and the associate director of History's Undergraduate Studies Committee.",
HIST 29800,BA Thesis Seminar I,"BA Thesis Seminar I provides a systematic introduction to historical methodology and approaches (e.g., political, intellectual, social, cultural, economic, gender, environmental history), as well as research techniques. It culminates in students' submission of a robust BA thesis proposal that will be critiqued in class. Guidance will also be provided for applications for research funding.",Staff,"Spring
Prerequisite(s): All 3rd-yr history students writing BA theses take HIST 29800 in Spr Qtr. You must receive a B grade in BA Seminar I to continue in the BA Thesis Track and enroll in BA Seminar II.
Note(s): Students who will be out of residence in the spring term of the third year should choose the Colloquium or Capstone Track.",
HIST 29801,BA Thesis Seminar II (Autumn)  000 Units,"BA Seminar II is a forum to successfully complete the BA thesis, the topic of which was developed in BA Seminar I, in a structured forum that allows for ongoing discussion and peer review. Autumn Quarter is devoted to completing the research and beginning the writing of the thesis. By the end of the quarter students will have drafted 10-15 pages. Over the course of the Winter Quarter students will complete a draft of the thesis, which will be workshopped in the biweekly sessions. The final deadline for submission of the thesis is the second week of the Spring Quarter.",Staff,"Autumn
Prerequisite(s): HIST 29800; Students writing BA theses register for both Autumn (HIST 29801) and Winter (HIST 29802) quarters. You must receive a B grade in HIST 29801 to continue in the BA Thesis Track and enroll in HIST 29802.
Note(s): The seminar meets every other week (weeks 1, 3, 5, 7, and 9) in Autumn and Winter for 10 weeks total.",
HIST 29802,BA Thesis Seminar II,"BA Seminar II is a forum to successfully complete the BA thesis, the topic of which was developed in BA Seminar I, in a structured forum that allows for ongoing discussion and peer review. Autumn Quarter is devoted to completing the research and beginning the writing of the thesis. By the end of the quarter students will have drafted 10-15 pages. Over the course of the Winter Quarter students will complete a draft of the thesis, which will be workshopped in the biweekly sessions. The final deadline for submission of the thesis is the second week of the Spring Quarter.",Staff,"Winter
Prerequisite(s): HIST 29800 (BA Seminar I) and HIST 29801 (BA Seminar II-Autumn)
Note(s): The seminar meets every other wk (wks 1, 3, 5, 7, and 9) in Aut and Win for 10-wks total.",
HIST 29803,Historiography,"The course provides a systematic introduction to historical methodology and approaches (e.g., political, intellectual, social, cultural, economic, gender, environmental history), as well as research techniques. Students will gain analytical, research, and writing tools that will assist them in their capstone projects, research colloquia, or BA theses.",Staff,"Autumn
Spring
Winter
Prerequisite(s): Consent of instructor. Historiography is required for all majors, but open to all students.
Note(s): We recommend that Capstone and BA Thesis students take Historiography in the 3rd year. Assignments: short papers, in-class presentation, long paper.",
HIST 29804,Capstone Seminar (Autumn)  000 Units,"Capstone Seminar is a forum to create, discuss, and critique History capstone projects. Early weeks of the seminar will be devoted to exploring various forms historical work can take, from museum installations to podcasts and documentaries. In-process work will be shared and critiqued in workshops. The final deadline for submission of the Capstone Project is the second week of spring quarter.",Staff,"Autumn
Prerequisite(s): Capstone students register for both autumn (HIST 29804) and winter (HIST 29805) quarters; the seminar meets every other week (weeks 1, 3, 5, 7, and 9) for 10-weeks total.",
HIST 29805,Capstone Seminar,"Capstone Seminar is a forum to create, discuss, and develop History capstone projects. Early weeks of the seminar will be devoted to exploring various forms historical work can take, from museum installations to podcasts and documentaries. In-process work will beshared and critiqued in workshops. The course meets every other week in autumn and winter, allowing students ample time to develop their projects on their own. The final deadline for submission of the Capstone Project is the second week of Spring Quarter.",Staff,"Winter
Prerequisite(s): Capstone students register for both autumn (HIST 29804) and winter (HIST 29805) quarters; the seminar meets every other week (weeks 1, 3, 5, 7, and 9) for a total of 10 weeks.",
HIST 29806,Archival Methods and Historical Thinking,"In this course, students will be introduced to archival research methods and to the ways in which historians work with and interpret the sources they use in constructing historical narratives and arguments. We will visit Special Collections, explore digital archives, and consider the range of possible sources and archives, from texts held in national government archives to material objects, maps, audio or video recordings, and everything in between. We will also engage with the work of historians as they seek to make sense of the material they find in archives, considering questions of interpretation, narrative, and holes--that is, what is missing from archives. Students will gain an understanding of the mechanics of archival work and an appreciation for the complexity of historical thinking.",A. Hofmann,Summer. Offered Summer 2023,
HIST 29908,The Bible Throughout History: From the Dead Sea Scrolls to King James,"While the collection of ancient texts found in modern Bibles appears fixed and is read by many people as a source of edification or theological insight, it has not always been this way. Though absent from most Bibles, there is an entire body of literature commonly known as ""rewritten bible"": early translations, retellings, or entirely new stories with familiar names and faces that update, retcon, or subvert their ""biblical"" sources. How might we understand these ancient forms of fan fiction? The class will introduce this corpus (including some of the Dead Sea Scrolls) and its sources, production, and historical contexts. We will confront significant problems in understanding religious texts: how is it that some texts become authoritative while other very similar texts do not? Who gets to retell foundational religious narratives, and within what social or political constraints? What does it mean to relate to sacred texts as artistic prompts or imperfect points of departure? Can a biblical text be rewritten for an entirely different religious tradition? We will consider similar questions for contemporary religious practice, asking: how did rewriting the Bible get started, and has it stopped?",Doren Snoek,Winter,"MDVL 20124, JWSC 20924, FNDL 20124, RLST 20124, CMLT 20124"
HIST 29909,Comparative Empires,"This course will introduce students to major themes in the study of empires, and to primary sources illustrative of those issues. We aim to raise questions about the nature of empires, their techniques of rule, impact on their subjects, and the causes of their rise and fall. For the most part, this will be done through a series of studies of specific empires, which will become the basis for comparative discussions. The empires considered range across the planet, and across the last two millennia, but most will be concentrated in the 16th-19th centuries. Graduate and undergraduate students both welcome.",S. Pincus & K. Pomeranz,Autumn,HIST 39909
HIST 29910,History of Modern Peace and Violence,"How was peace constituted as a modern category? Is there a history of peace? What do new approaches to large concepts-""Latin America,"" ""Europe,"" ""State,"" ""Nation,"" ""Global South,"" ""Judeo-Christian""-tell us about peace and violence and about writing the past of peace and violence? The goal is to launch the wondering of future historians.",M. Tenorio,Autumn,HIST 39910
HIST 29911,Global Legal History,"This course examines topics in legal history from the last two centuries, surveying new and canonical histories from Africa, the Americas, Asia, and Europe. In recent years legal history has taken a global turn, moving away from the state-focused approach that long characterized the field. We will consider some of the questions that have come out of that turn. What counts as a ""legal"" institution, and who decides? How do different legal traditions - Civil Law, Sharia, Common Law, custom - interact with one another? How did law buttress or challenge ideas about race? Law can be a shield or a weapon, sometimes simultaneously. What it does depends on who is using it, and for what purpose. Readings will include history and some legal philosophy. Students will use primary sources extensively, including court records. The course will address historical topics including the use of law in European imperialism; law and the afterlife of Atlantic slavery; colonial regimes of law; the role of law in nationalist movements; law in revolutionary regimes and communist states; and contemporary debates on law enforcement and policing.",S. Daly,Autumn,"LLSO 29911, HIST 39911"
HIST 10101-10102-10103,Introduction to African Civilization I-II-III,African Civilization introduces students to African history in a three-quarter sequence. Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies.,,,
HIST 10101,Introduction to African Civilization I,"Part one considers literary, oral, linguistic, and material sources to investigate African societies and states from the early Iron Age through the emergence of the Atlantic World. Case studies include: the empires of Ghana and Mali, the Swahili Coast, Great Zimbabwe, Nok of Nigeria, and medieval Ethiopia. We also consider religious and spiritual transformation, including Islam in Africa, as well as the origins and effects of European contact, and the emergence of the transatlantic trade in enslaved human beings. Students examine these times and places through primary sources (such as cultural artifacts, visual representations, myths, and memoirs) which illuminate African perspectives on these different places and times. Assignments: oral presentations, document analyses, essays, and team projects.",Staff,Autumn,"MDVL 10101, ANTH 20701, CRES 20701, SOSC 20101"
HIST 10102,Introduction to African Civilization II,"This course examines the transformations of African societies in the long nineteenth century. At the beginning of the era, European economic and political presence was mainly coastal, but by the end, nearly the entire continent was colonized. This course examines how and why this process occurred, highlighting the struggles of African societies to manage internal reforms and external political, military, and economic pressures. Students examine these processes through various primary sources (such as visual and material sources, cultural artifacts, and personal accounts) that highlight African perspectives on these processes.",Staff,Winter,"CRES 20802, SOSC 20202, ANTH 20702"
HIST 10103,Introduction to African Civilization III,"African Civilization III examines Africa and the African diaspora in the modern era. Topics may include the end of colonialism and decolonization, the legacies of slavery and its racial logics, identity and cultural expression, theories of personhood, gender and sexuality, migration, governance, and language. Readings vary widely, including primary sources by African and diasporic authors, social theory, and works of art and literature - written, spoken, and performed.",S. Fury Childs Daly and A. Olugbuyiro,"Spring
Prerequisite(s): This sequence meets the general education requirement in civilization studies.
Note(s): Taking these courses in sequence is recommended but not required.","CRES 20303, ANTH 20703, SOSC 20203"
HIST 10800-10900,Introduction to the Civilizations of South Asia I-II,This sequence introduces core themes in the formation of culture and society in South Asia from the early modern period until the present. This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence.,,,
HIST 10800,Introduction to the Civilizations of South Asia I,"The first quarter focuses on Islam in South Asia, Hindu-Muslim interaction,
Mughal political and literary traditions, and South Asia's early encounters with
Europe.",Muzaffar Alam,Winter,"SOSC 23000, SALC 20100, SALC 30100, MDVL 20100, ANTH 24101"
HIST 10900,Introduction to the Civilizations of South Asia II,"The second quarter analyzes the colonial period (i.e., reform movements, the rise of nationalism, communalism, caste, and other identity movements) up to the independence and partition of India.",Dipesh Chakrabarty,"Spring
Prerequisite(s): SALC 20100,ANTH 24101,HIST 10800,SASC 20000,SOSC 23000","ANTH 24102, SOSC 23100, SALC 20200"
HIST 11701,Jewish Civilization I: Ancient Beginnings to Medieval Period,"Jewish Civilization is a three-quarter sequence that explores the development of Jewish culture and tradition from its ancient beginnings through its rabbinic and medieval transformations to its modern manifestations. Through investigation of primary texts-biblical, Talmudic, philosophical, mystical, historical, documentary, and literary-students will acquire a broad overview of Jews, Judaism, and Jewishness while reflecting in greater depth on major themes, ideas, and events in Jewish history. The autumn course will deal with antiquity through the Middle Ages. Its readings will include material from the Bible and writings from the second temple, Hellenistic, rabbinic, and medieval periods. All sections of this course will share a common core of readings; individual instructors will supplement with other materials. It is recommended, though not required, that students take the three Jewish Civilization courses in sequence. Students who register for the Autumn Quarter course will automatically be pre-registered for the winter segment. In the Spring Quarter students have the option of taking a third unit of Jewish Civilization, a course whose topics will vary (JWSC 1200X).",Larisa Reznik,"Autumn
Winter","RLST 22010, MDVL 12000, JWSC 12000, NEHC 22010"
HIST 11702,Jewish Civilization II: Early Modern Period to 21st Century,"Jewish Civilization is a three-quarter sequence that explores the development of Jewish culture and tradition from its ancient beginnings through its rabbinic and medieval transformations to its modern manifestations. Through investigation of primary texts-biblical, Talmudic, philosophical, mystical, historical, documentary, and literary-students will acquire a broad overview of Jews, Judaism, and Jewishness while reflecting in greater depth on major themes, ideas, and events in Jewish history. The Winter course will begin with the early modern period and continue to the present. It will include discussions of mysticism, the works of Spinoza and Mendelssohn, the nineteenth-century reform, the Holocaust and its reflection in writers such as Primo Levi and Paul Celan, and literary pieces from postwar American Jewish and Israeli authors. All sections of this course will share a common core of readings; individual instructors will supplement with other materials. It is recommended, though not required, that students take the three Jewish Civilization courses in sequence. Students who register for the Autumn Quarter course will automatically be pre-registered for the winter segment. In the Spring Quarter students have the option of taking a third unit of Jewish Civilization, a course whose topics will vary (JWSC 1200X).","Kenneth Moss
Larisa Reznik","Spring
Winter","RLST 22011, JWSC 12001, NEHC 22011"
